ordering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,BonusToTrump,BonusToBiden,totalBallots,locality
 328575, 726285, 249714, 750286, 702857, 260571, 739429, 617140, 445715,   1750,Crowley
 358420, 839101, 142471, 857529, 816179, 147865, 852135, 614610, 473030,   2225,Baca
 372145, 774706, 208016, 791984, 762266, 221147, 778853, 562200, 434345,   1447,Sedgwick
 424085, 751552, 235334, 764666, 734299, 233264, 766736, 586265, 510350,   1449,Dolores
 428365, 353868, 626074, 373926, 340496, 627029, 372971, 566860, 495225,   2094,Costilla
 431915, 527579, 452111, 547889, 517655, 455804, 544196, 549620, 481535,   4333,Conejos
 450065, 500000, 471175, 528825, 490240, 471402, 528598, 548800, 498865,   4406,Huerfano
 450385, 538123, 439266, 560734, 529707, 440773, 559227, 542080, 492465,   7961,LasAnimas
 461240, 880398, 108527, 891473, 867109, 102990, 897010, 566445, 527685,    903,Kiowa
 469405, 807002, 171221, 828779, 789069, 159407, 840593, 589665, 559070,   7026,Moffat
 474625, 580491, 395717, 604283, 576526, 396827, 603173, 519825, 494450,   6305,RioGrande
 482920, 720733, 262183, 737817, 713181, 258047, 741953, 537760, 520680,   5561,Prowers
 483770, 416937, 555916, 444084, 414576, 556801, 443199, 511805, 495575,   3389,Saguache
 507685, 488345, 481429, 518571, 486680, 478227, 521773, 508325, 516010,   7808,Alamosa
 514550, 697977, 282013, 717987, 694412, 275538, 724462, 517825, 532375,  13744,Morgan
 519755, 685409, 288335, 711665, 682787, 281762, 718238, 513110, 532865,  25557,Fremont
 525245, 377934, 581418, 418582, 381469, 579904, 420096, 482325, 507570,   3961,Lake
 532980, 660949, 321899, 678101, 654353, 308707, 691293, 532980, 565960,   2274,Bent
 536180, 812144, 171059, 828941, 810594, 162273, 837727, 507750, 543930,   3870,KitCarson
 541300, 675322, 303923, 696077, 677232, 297573, 702427, 490450, 531750,  19370,Delta
